ads_name,property_type,apartment_name,area,region,city,latitude,longitude,bedrooms,bathrooms,size,is_furnished,capacity,rating,yearly_price,property_management_type
Extra Space 3BR Apartment Grand Palace Kemayoran By Travelio,apartment,Apartemen Grand Palace Kemayoran,Kemayoran,DKI Jakarta,Jakarta,-6.160694224255892,106.85292541980743,3,2,116.0,Full Furnished,4,5.0,61066779,TPM
2BR Unfurnished with AC at 37th Floor Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0420121,106.692587,2,1,36.0,Unfurnished,4,5.0,25000000,REALTY
Comfort 2BR Unfurnished at Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.042433,106.692248,2,1,38.0,Unfurnished,4,,20412777,REALTY
Comfort Studio Tamansari The Hive Apartment By Travelio,apartment,Apartemen Tamansari The Hive,Cawang,DKI Jakarta,Jakarta,-6.238444691538016,106.87717258930206,Studio,1,31.52,Full Furnished,2,5.0,50067854,TPM
Comfort and Spacious 2BR at Casablanca Apartment By Travelio,apartment,Apartemen Casablanca,Casablanca,DKI Jakarta,Jakarta,-6.222873118292061,106.84535622596741,2,2,119.0,Full Furnished,4,4.5,185000000,TPM
Spacious and Homey 2BR Green Central City Glodok Apartment By Travelio,apartment,Apartemen Green Central City Glodok,Glodok,DKI Jakarta,Jakarta,-6.147707145070255,106.81552469730377,2,1,63.0,Full Furnished,3,5.0,58261968,TPM
Warm and Cool 1BR at Pancoran Riverside Apartment By Travelio,apartment,Apartemen Pancoran Riverside,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.251460865331976,106.86169993132353,1,1,35.0,Full Furnished,2,5.0,33162770,TPM
Homey 2BR Unfurnished at 7th Floor Tokyo Riverside Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0424281578319485,106.69224500656128,2,1,36.0,Unfurnished,4,,17000000,REALTY
Fancy and Nice Studio Room Apartment at Nine Residence By Travelio,apartment,Apartemen Nine Residence,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.25331857828738,106.82673431932926,Studio,1,29.4,Full Furnished,2,4.9,54025000,TPM
Modern and Beautiful 2BR at Pasar Baru Mansion Apartment By Travelio,apartment,Apartemen Pasar Baru Mansion,Pasar Baru,DKI Jakarta,Jakarta,-6.162640925390073,106.83227777481079,2,2,98.73,Full Furnished,4,4.8,60291945,TPM
Chic and Cozy 2BR Apartment at Green Pramuka City By Travelio,apartment,Apartemen Green Pramuka City,Cempaka Putih,DKI Jakarta,Jakarta,-6.188552,106.87484,2,1,33.0,Full Furnished,3,4.8,34852857,TPM
Elegant and Strategic 1BR Signature Park Grande Apartment By Travelio,apartment,Apartemen Signature Park Grande,MT Haryono,DKI Jakarta,Jakarta,-6.244827836402102,106.8660843372345,1,1,35.24,Full Furnished,2,5.0,52000000,TPM
Unfurnished Studio at 12th Floor Tifolia Apartment By Travelio,apartment,Apartemen Tifolia,Pulo Gadung,DKI Jakarta,Jakarta,-6.175350308134791,106.89268112182617,Studio,1,26.0,Unfurnished,2,5.0,25000000,REALTY
Homey and Well Designed 2BR at Bintaro Park View Apartment By Travelio,apartment,Apartemen Bintaro Park View,Pesanggrahan,DKI Jakarta,Jakarta,-6.258020488936037,106.75871551036835,2,1,37.5,Full Furnished,3,5.0,44950000,TPM
White and Nice 1BR at Bassura City Apartment By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,1,1,37.88,Full Furnished,2,4.9,38715854,TPM
Simply Look and Cozy Studio West Vista Apartment By Travelio,apartment,Apartemen West Vista,Duri Kosambi,DKI Jakarta,Jakarta,-6.158048,106.726662,Studio,1,30.2,Full Furnished,2,,35795956,TPM
Good Deal and Minimalist 2BR Green Pramuka City Apartment By Travelio,apartment,Apartemen Green Pramuka City,Cempaka Putih,DKI Jakarta,Jakarta,-6.188552,106.87484,2,1,33.0,Full Furnished,3,5.0,32807857,TPM
Strategic and Comfy 2BR City Home Gading Riverview (MOI) Apartment By Travelio,apartment,Apartemen City Home Gading Riverview (MOI),Kelapa Gading,DKI Jakarta,Jakarta,-6.150357921710942,106.89038515090942,2,1,45.0,Full Furnished,4,5.0,53777500,TPM
Spacious Unfurnished 3BR with AC at French Walk (MOI) Apartment By Travelio,apartment,Apartemen French Walk (MOI),Kelapa Gading,DKI Jakarta,Jakarta,-6.151455,106.891895,3,2,96.0,Unfurnished,6,,89000000,REALTY
Unfurnished 3BR Apartment with AC at Veranda Residence By Travelio,apartment,Apartemen Veranda Residence,Kembangan,DKI Jakarta,Jakarta,-6.189430006701461,106.75631761550903,3,2,113.0,Unfurnished,6,,117000000,REALTY
Modern Look and Comfy 2BR at Vasaka Solterra Apartment By Travelio,apartment,Apartemen Vasaka Solterra,Pasar Minggu,DKI Jakarta,Jakarta,-6.275702600079762,106.83159112930298,2,2,54.43,Full Furnished,3,,92250000,TPM
2BR Unfurnished at 2nd Floor Teluk Intan Apartment By Travelio,apartment,Apartemen Teluk Intan,Penjaringan,DKI Jakarta,Jakarta,-6.127524541682386,106.77714228630066,2,1,32.0,Unfurnished,4,,28000000,REALTY
Graceful and Cozy 2BR at Signature Park Grande Apartment By Travelio,apartment,Apartemen Signature Park Grande,MT Haryono,DKI Jakarta,Jakarta,-6.244827836402102,106.8660843372345,2,1,43.04,Full Furnished,3,5.0,61318444,TPM
Nice and Comfy 2BR Apartment at Kalibata City By Travelio,apartment,Apartemen Kalibata City,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.25698199288882,106.85088761150837,2,1,33.8,Full Furnished,3,5.0,33700714,TPM
Elegant and Nice 2BR at Sudirman Park Apartment By Travelio,apartment,Apartemen Sudirman Park,Sudirman,DKI Jakarta,Jakarta,-6.205391877764738,106.81696772575378,2,1,46.68,Full Furnished,3,5.0,66400000,TPM
Strategic for 4 Pax 2BR City Home Gading Riverview (MOI) Apartment By Travelio,apartment,Apartemen City Home Gading Riverview (MOI),Kelapa Gading,DKI Jakarta,Jakarta,-6.150357921710942,106.89038515090942,2,1,45.0,Full Furnished,4,5.0,55234286,TPM
Restful and Comfortable 2BR Kalibata City Apartment near Mall By Travelio,apartment,Apartemen Kalibata City,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.25698199288882,106.85088761150837,2,1,33.8,Full Furnished,3,5.0,33700714,TPM
Fresh and Bright Studio Room at Nifarro Park Apartment By Travelio,apartment,Apartemen Nifarro Park,Pasar Minggu,DKI Jakarta,Jakarta,-6.263363578451597,106.84415861964226,Studio,1,26.0,Full Furnished,2,5.0,41435000,TPM
Comfort Unfurnished Studio with AC at Osaka Riverview PIK 2 Apartment By Travelio,apartment,Apartemen Osaka Riverview PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0578449739756275,106.67856305837631,Studio,1,14.16,Unfurnished,2,,12000000,REALTY
Best Deal 1BR at Hampton Park Apartment By Travelio,apartment,Apartemen Hampton Park,Cilandak Barat,DKI Jakarta,Jakarta,-6.281790243078988,106.7907337581201,1,1,48.5,Full Furnished,2,5.0,73000000,TPM
Homey and Compact 2BR Pluit Sea View Apartment By Travelio,apartment,Apartemen Pluit Sea View,Pluit,DKI Jakarta,Jakarta,-6.121438675500974,106.8070650100708,2,1,42.0,Full Furnished,4,5.0,31999999,TPM
Exclusive Studio Apartment at Menteng Park By Travelio,apartment,Apartemen Menteng Park,Menteng,DKI Jakarta,Jakarta,-6.1908806210051495,106.84015274047852,Studio,1,33.0,Full Furnished,2,5.0,65053989,TPM
Best Choice 2BR Apartment at Menteng Square By Travelio,apartment,Apartemen Menteng Square,Menteng,DKI Jakarta,Jakarta,-6.20023485429095,106.85228705406189,2,1,30.0,Full Furnished,2,5.0,41388889,TPM
Good Unfurnished Studio at 16th Floor Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.042433,106.692248,Studio,1,21.0,Unfurnished,2,,10000000,REALTY
Best 1BR Unfurnished with AC at Ciputra International Apartment By Travelio,apartment,Apartemen Ciputra International,Cengkareng,DKI Jakarta,Jakarta,-6.173912,106.729106,1,1,58.1,Unfurnished,2,,42000000,REALTY
Wonderful and Combined 3BR Puri Mansion Apartment By Travelio,apartment,Apartemen Puri Mansion,Kembangan,DKI Jakarta,Jakarta,-6.181152895972963,106.72348737716675,3,2,63.0,Full Furnished,5,,72500000,TPM
Comfy 2BR Green Bay Pluit Apartment By Travelio,apartment,Apartemen Green Bay Pluit,Pluit,DKI Jakarta,Jakarta,-6.108615992663808,106.77899301052094,2,1,35.5,Full Furnished,3,4.1,35489754,TPM
Cozy Studio at Signature Park Grande Apartment By Travelio,apartment,Apartemen Signature Park Grande,MT Haryono,DKI Jakarta,Jakarta,-6.244827836402102,106.8660843372345,Studio,1,25.16,Full Furnished,2,5.0,40920143,TPM
Comfort and Cozy 2BR Apartment at Metro Park Residence By Travelio,apartment,Apartemen Metro Park Residence Kebun Jeruk,Kebon Jeruk,DKI Jakarta,Jakarta,-6.186254107437438,106.75765335559845,2,1,53.39,Full Furnished,3,,56888600,TPM
Comfortable Designed 2BR with Private Lift at Lexington Apartment By Travelio,apartment,Apartemen Lexington,Bintaro,DKI Jakarta,Jakarta,-6.273484370528961,106.76678359508514,2,2,88.0,Full Furnished,4,,130000000,TPM
Classic 2BR at Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.042278788605511,106.69157981872559,2,1,38.0,Full Furnished,3,5.0,30708333,TPM
Modern and Spacious 2BR Apartment at Taman Rasuna By Travelio,apartment,Apartemen Taman Rasuna Kuningan,Epicentrum,DKI Jakarta,Jakarta,-6.217860253320233,106.83682680130005,2,1,73.82,Full Furnished,3,4.7,72250000,TPM
Best Unfurnished Studio at 20th Floor T Plaza Apartment By Travelio,apartment,Apartemen T Plaza,Tanah Abang,DKI Jakarta,Jakarta,-6.202444,106.807569,Studio,1,24.07,Unfurnished,2,,25870004,REALTY
Warm and Cozy 3BR Apartment at The Royal Olive Residence By Travelio,apartment,Apartemen Royal Olive Residence,Pejaten,DKI Jakarta,Jakarta,-6.27665,106.829499,3,2,79.72,Full Furnished,4,4.9,98810000,TPM
Simply Look Studio Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.042433,106.692248,Studio,1,21.0,Full Furnished,2,,35500000,TPM
Comfy Strategic 2BR at Puri Park View Apartment By Travelio,apartment,Apartemen Puri Park View,Kembangan,DKI Jakarta,Jakarta,-6.193067201213606,106.75673604011536,2,1,35.0,Full Furnished,3,5.0,37099242,TPM
Pleasant Studio Apartment at City Home Gading Riverview (MOI) By Travelio,apartment,Apartemen City Home Gading Riverview (MOI),Kelapa Gading,DKI Jakarta,Jakarta,-6.150357921710942,106.89038515090942,Studio,1,37.0,Full Furnished,2,5.0,46750000,TPM
Studio Unfurnished at 27th Floor Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.042587,106.692609,Studio,1,21.0,Unfurnished,2,,10000000,REALTY
New and Modern Studio at West Vista Apartment By Travelio,apartment,Apartemen West Vista,Duri Kosambi,DKI Jakarta,Jakarta,-6.158109,106.726681,Studio,1,30.0,Full Furnished,2,5.0,43000000,TPM
Scenic and Spacious 1BR Apartment at L'Avenue By Travelio,apartment,Apartemen L'Avenue Pancoran,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.248592628891698,106.84432625770569,1,1,63.72,Full Furnished,2,5.0,89749295,TPM
Elegant and Comfortable 1BR at Kondominium Taman Anggrek Apartment By Travelio,apartment,Apartemen Kondominium Taman Anggrek,Tanjung Duren,DKI Jakarta,Jakarta,-6.179046265280604,106.79179787635803,1,1,88.0,Full Furnished,2,,68950000,TPM
Comfort and Spacious 3BR at Gandaria Heights Apartment By Travelio,apartment,Apartemen Gandaria Heights,Gandaria,DKI Jakarta,Jakarta,-6.24408,106.784516,3,2,99.6,Full Furnished,4,5.0,240000000,TPM
New Furnished with Good Location at Studio Puri Orchard Apartment By Travelio,apartment,Apartemen Puri Orchard,Cengkareng,DKI Jakarta,Jakarta,-6.166091635602988,106.72925412654877,Studio,1,26.0,Full Furnished,2,5.0,30375000,TPM
Signature Park Grande Studio Apartment By Travelio,apartment,Apartemen Signature Park Grande,MT Haryono,DKI Jakarta,Jakarta,-6.244827836402102,106.8660843372345,Studio,1,25.96,Full Furnished,2,5.0,41217286,TPM
Cozy and Homey 2BR at Grand Palace Kemayoran Apartment By Travelio,apartment,Apartemen Grand Palace Kemayoran,Kemayoran,DKI Jakarta,Jakarta,-6.160694224255892,106.85292541980743,2,2,68.52,Full Furnished,3,5.0,47835261,TPM
Strategic 2BR at Bassura City Apartment By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,2,1,34.37,Full Furnished,4,4.9,37492500,TPM
Comfort and Homey 2BR at Nifarro Park Apartment By Travelio,apartment,Apartemen Nifarro Park,Pasar Minggu,DKI Jakarta,Jakarta,-6.263363578451597,106.84415861964226,2,1,51.5,Full Furnished,4,5.0,60000000,TPM
Warm and Cozy 2BR at Gading Greenhill Apartment By Travelio,apartment,Apartemen Gading Greenhill,Kelapa Gading,DKI Jakarta,Jakarta,-6.147627141545745,106.91625773906708,2,1,37.6,Full Furnished,4,5.0,39082796,TPM
Homey and Tidy Studio at Bintaro Park View Apartment By Travelio,apartment,Apartemen Bintaro Park View,Pesanggrahan,DKI Jakarta,Jakarta,-6.258020488936037,106.75871551036835,Studio,1,22.3,Full Furnished,2,5.0,30706818,TPM
3BR Unfurnished With AC at Holland Village Apartment By Travelio,apartment,Apartemen Holland Village Jakarta,Cempaka Putih,DKI Jakarta,Jakarta,-6.168054317021698,106.87584221363068,3,2,104.0,Unfurnished,6,5.0,100999999,REALTY
Nice 2BR Unfurnished with AC at Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0420121,106.692587,2,1,36.0,Unfurnished,4,,25000000,REALTY
Minimalist and Homey Studio Green Bay Pluit Apartment By Travelio,apartment,Apartemen Green Bay Pluit,Pluit,DKI Jakarta,Jakarta,-6.108615992663808,106.77899301052094,Studio,1,21.37,Full Furnished,2,,31412322,TPM
Fancy and Well Appointed Studio at Ciputra World 2 Apartment By Travelio,apartment,Apartemen Ciputra World 2,Karet Kuningan,DKI Jakarta,Jakarta,-6.221945208594415,106.81944072246552,Studio,1,23.79,Full Furnished,2,5.0,80749999,TPM
1BR Pancoran L'Avenue Comfy Apartment By Travelio,apartment,Apartemen L'Avenue Pancoran,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.248592628891698,106.84432625770569,1,1,65.46,Full Furnished,2,5.0,90524799,TPM
Comfort 2BR at 17th Floor Green Palace Kalibata Apartment By Travelio,apartment,Apartemen Green Palace Kalibata,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.256900672828798,106.85046046972275,2,1,29.92,Full Furnished,4,5.0,40000000,TPM
Unfurnished Studio with AC at 15th Floor Puri Orchard Apartment By Travelio,apartment,Apartemen Puri Orchard,Cengkareng,DKI Jakarta,Jakarta,-6.166091635602988,106.72925412654877,Studio,1,26.0,Unfurnished,2,5.0,21999999,REALTY
2BR Cosmo Terrace Thamrin Apartment with Access to Thamrin City Mall By Travelio,apartment,Apartemen Cosmo Terrace Thamrin,Thamrin,DKI Jakarta,Jakarta,-6.194309814711791,106.81474685668945,2,1,62.0,Full Furnished,3,4.8,66250649,TPM
Elegant and Comfy Studio at Bassura City Apartment By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,Studio,1,21.0,Full Furnished,2,5.0,38000000,TPM
Homey 2BR Kalibata City Apartment By Travelio,apartment,Apartemen Kalibata City,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.25698199288882,106.85088761150837,2,1,28.0,Full Furnished,3,4.8,32375000,TPM
Luxurious and Elegant 3BR Apartment Vittoria Residence By Travelio,apartment,Apartemen Vittoria Residence,Cengkareng,DKI Jakarta,Jakarta,-6.15721681158754,106.73606425523758,3,1,53.0,Full Furnished,4,4.9,45000000,TPM
Serene and Cozy Studio at Citra Living Apartment By Travelio,apartment,Apartemen Citra Living,Kalideres,DKI Jakarta,Jakarta,-6.146017734755382,106.70166358351707,Studio,1,22.61,Full Furnished,2,,28145000,TPM
Unfurnished Studio at 17th Floor Tokyo Riverside Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.042278788605511,106.69157981872559,Studio,1,21.0,Unfurnished,2,,18500000,REALTY
Studio Unfurnished 25th Floor Tokyo Riverside PIK 2 Apartment with AC By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0424281578319485,106.69224500656128,Studio,1,21.0,Unfurnished,2,,11500000,REALTY
Comfort Stay Studio at Osaka Riverview PIK 2 Apartment By Travelio,apartment,Apartemen Osaka Riverview PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.057847,106.678564,Studio,1,14.16,Full Furnished,2,,15434286,TPM
Affordable 2BR Bassura City Apartment By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,2,1,34.4,Full Furnished,4,4.8,37500000,TPM
Relaxing 2BR Apartment Royal Olive Residence By Travelio,apartment,Apartemen Royal Olive Residence,Pejaten,DKI Jakarta,Jakarta,-6.27665,106.829499,2,1,51.33,Full Furnished,4,5.0,104328000,TPM
Warm and Cozy Studio Room at Menteng Park Apartment By Travelio,apartment,Apartemen Menteng Park,Menteng,DKI Jakarta,Jakarta,-6.1908806210051495,106.84015274047852,Studio,1,33.0,Full Furnished,2,5.0,56025000,TPM
Comfortable Studio Room at Signature Park Grande Apartment By Travelio,apartment,Apartemen Signature Park Grande,MT Haryono,DKI Jakarta,Jakarta,-6.244827836402102,106.8660843372345,Studio,1,25.0,Full Furnished,2,4.8,42030714,TPM
Elegant 2BR Apartment with Private Lift at The Kencana Residence By Travelio,apartment,Apartemen The Kencana Residence,Kebayoran Lama,DKI Jakarta,Jakarta,-6.2592362865636,106.78079813718796,2,2,96.0,Full Furnished,3,,156300000,TPM
Good Deal and Tidy 2BR Green Park View Apartment By Travelio,apartment,Apartemen Green Park View,Duri Kosambi,DKI Jakarta,Jakarta,-6.155526,106.719291,2,1,34.0,Full Furnished,4,,29442963,TPM
Posh 2BR Apartment at Green Bay Pluit By Travelio,apartment,Apartemen Green Bay Pluit,Pluit,DKI Jakarta,Jakarta,-6.108615992663808,106.77899301052094,2,1,35.5,Full Furnished,4,5.0,41000000,TPM
Cozy Unfurnished Studio at 20th Floor T Plaza Apartment By Travelio,apartment,Apartemen T Plaza,Tanah Abang,DKI Jakarta,Jakarta,-6.202444,106.807569,Studio,1,24.07,Unfurnished,2,,25870004,REALTY
Restful and Modern 2BR Bassura City Apartment By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,2,1,34.37,Full Furnished,3,5.0,38682500,TPM
Great Choice 2BR at Kalibata City Apartment By Travelio,apartment,Apartemen Kalibata City,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.25698199288882,106.85088761150837,2,1,33.8,Full Furnished,3,5.0,33700714,TPM
Unfurnished 2BR with AC Apartment at 19th Floor Lucky Tower Residence By Travelio,apartment,Apartemen Lucky Tower Residence,Pinangsia,DKI Jakarta,Jakarta,-6.141052144108235,106.8135492503643,2,1,81.0,Unfurnished,4,,80000000,REALTY
Cozy 1BR at Madison Park Apartment near Central Park Mall By Travelio,apartment,Apartemen Madison Park,Tanjung Duren,DKI Jakarta,Jakarta,-6.1786569376775065,106.78887829184532,1,1,30.1,Full Furnished,2,4.9,50000000,TPM
Pleasurable and Modern Look 2BR Kalibata City Apartment By Travelio,apartment,Apartemen Kalibata City,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.25698199288882,106.85088761150837,2,1,28.73,Full Furnished,3,5.0,32500000,TPM
Strategic 2BR Apartment at Bellagio Residence near Kuningan City By Travelio,apartment,Apartemen Bellagio Residence,Mega Kuningan,DKI Jakarta,Jakarta,-6.227841,106.824472,2,2,89.0,Full Furnished,3,4.9,149000000,TPM
Elegant 2BR at Bassura City Apartment By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,2,1,30.25,Full Furnished,4,5.0,36712500,TPM
Comfortable and Nice 2BR at Green Pramuka City Apartment By Travelio,apartment,Apartemen Green Pramuka City,Cempaka Putih,DKI Jakarta,Jakarta,-6.188473,106.874737,2,1,34.25,Full Furnished,4,,34178571,TPM
Cozy and Minimalist 2BR Apartment at Pakubuwono Terrace By Travelio,apartment,Apartemen Pakubuwono Terrace,Kebayoran Lama,DKI Jakarta,Jakarta,-6.23771278462011,106.76970854401588,2,1,48.2,Full Furnished,3,5.0,54263889,TPM
Nice and Modern 2BR at Green Pramuka City Apartment By Travelio,apartment,Apartemen Green Pramuka City,Cempaka Putih,DKI Jakarta,Jakarta,-6.188473,106.874737,2,1,34.25,Full Furnished,3,,33803571,TPM
Homey and Cozy Style 2BR Apartment Tokyo Riverside PIK 2 By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.042278788605511,106.69157981872559,2,1,38.0,Full Furnished,3,5.0,40000000,TPM
Cozy and Comfy Studio Gading Greenhill Apartment By Travelio,apartment,Apartemen Gading Greenhill,Kelapa Gading,DKI Jakarta,Jakarta,-6.147627141545745,106.91625773906708,Studio,1,24.55,Full Furnished,2,4.8,29000000,TPM
City View 3BR Apartment at Sudirman Tower Condominium By Travelio,apartment,Apartemen Sudirman Tower Condominium,Semanggi,DKI Jakarta,Jakarta,-6.219914733814355,106.81601151823997,3,2,92.0,Full Furnished,5,4.7,143100000,TPM
Scenic and Comfy Studio West Vista Apartment By Travelio,apartment,Apartemen West Vista,Duri Kosambi,DKI Jakarta,Jakarta,-6.158109,106.726681,Studio,1,30.2,Full Furnished,2,5.0,39000000,TPM
Strategic and Best Deal 2BR at Green Palace Kalibata Apartment By Travelio,apartment,Apartemen Green Palace Kalibata,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.256900672828798,106.85046046972275,2,1,35.5,Full Furnished,4,5.0,35577989,TPM
Cozy Living and Warm Studio Apartment at West Vista By Travelio,apartment,Apartemen West Vista,Duri Kosambi,DKI Jakarta,Jakarta,-6.158048,106.726662,Studio,1,30.68,Full Furnished,2,5.0,35929402,TPM
Nice and Comfort Studio Apartment at Belmont Residence Puri By Travelio,apartment,Apartemen Belmont Residence Puri,Kembangan,DKI Jakarta,Jakarta,-6.200400178473442,106.76275759935379,Studio,1,16.55,Full Furnished,2,5.0,29712500,TPM
Best Deal 3BR Apartment at Casablanca Mansion By Travelio,apartment,Apartemen Casablanca Mansion,Casablanca,DKI Jakarta,Jakarta,-6.2231877539669895,106.84648275375366,3,2,62.5,Full Furnished,4,5.0,70000000,TPM
Spacious 2BR Unfurnished with AC at Lexington Apartment By Travelio,apartment,Apartemen Lexington,Bintaro,DKI Jakarta,Jakarta,-6.273279,106.766517,2,1,80.0,Unfurnished,4,,87000000,REALTY
Nice 2BR Unfurnished with AC at Lexington Apartment By Travelio,apartment,Apartemen Lexington,Bintaro,DKI Jakarta,Jakarta,-6.273619,106.766592,2,2,80.0,Unfurnished,4,5.0,67999999,REALTY
Comfort 1BR at Royal Mediterania Garden Apartment By Travelio,apartment,Apartemen Royal Mediterania Garden,Tanjung Duren,DKI Jakarta,Jakarta,-6.176534297215603,106.78966283798218,1,1,36.99,Full Furnished,2,5.0,64378486,TPM
Comfort 2BR at Casablanca Mansion Apartment By Travelio,apartment,Apartemen Casablanca Mansion,Casablanca,DKI Jakarta,Jakarta,-6.2231877539669895,106.84648275375366,2,1,42.7,Full Furnished,3,5.0,60000000,TPM
